R_accel_x,R_accel_y,R_accel_z,R_gyro_x,R_gyro_y,R_gyro_z,R_temperature,R_flex_raw_1,R_flex_raw_2,R_flex_raw_3,R_flex_raw_4,R_flex_raw_5,L_accel_x,L_accel_y,L_accel_z,L_gyro_x,L_gyro_y,L_gyro_z,L_temperature,L_flex_raw_1,L_flex_raw_2,L_flex_raw_3,L_flex_raw_4,L_flex_raw_5,Result
-7.27,-3.3,-6.04,-0.04,0.1,0.12,27.74,343,787,1988,12,18,-4.42,8.67,0.3,-0.05,-0.04,0.02,27.42,787,557,1947,655,722,number 4
5.88,-4.4,1.29,-0.32,-0.2,-0.53,27.2,555,824,1993,72,38,-4.66,8.48,0.65,0,-0.08,-0.02,27.47,788,570,1957,667,726,number 4
7.78,-4.85,2.11,0.13,0.03,0.3,27.69,503,773,1961,9,0,-4.53,8.6,0.2,0.02,-0.14,0.01,27.49,794,563,1957,672,735,rest posture
8.08,-5.25,2.4,0,0.02,0.09,27.78,495,773,1959,1,5,-4.79,8.4,0.68,-0.04,0.03,0.11,27.52,795,571,1957,681,729,rest posture
7.97,-4.75,2.99,-0.07,-0.02,-0.16,27.79,510,759,1965,7,1,-4.37,8.59,1,-0.02,-0.05,0.02,27.54,796,571,1957,669,723,rest posture
7.91,-5.56,2.38,-0.01,-0.01,0.04,27.76,509,773,1963,7,17,-4.75,8.63,0.6,0.07,-0.11,0.02,27.61,819,585,1959,670,733,rest posture
6.15,-3.45,2.48,0.09,-0.02,0.08,27.28,540,749,1919,0,0,-4.86,8.52,0.5,0.04,0.08,0.01,27.64,791,581,1959,662,717,rest posture
8.73,-1.91,-6.1,-1.05,2.05,0.49,27.28,743,937,2026,147,120,-4.63,8.92,0.21,0.16,0.03,0.24,27.67,797,567,1957,669,721,rest posture
-6.71,-1.85,-7.29,-0.02,0.17,-0.02,27.64,813,809,1991,37,21,-4.93,8.3,0.46,0.05,-0.15,-0.12,27.7,793,571,1957,669,711,rest posture
8.58,-4.88,2.53,0,0.06,-0.12,27.72,636,863,2019,110,114,-4.77,8.71,-0.05,-0.11,0.06,0.02,27.71,798,573,1961,668,713,rest posture
